Function Name;Module;Source Info;Time Average (%);Time Min(s) [TID];Time Max(s) [TID];Time Average(s);
GOMP_doacross_ull_wait;libgomp.so.1.0.0;;0.06;0.08 [1348];0.08 [1348];0.02;
omp_get_thread_num;libgomp.so.1.0.0;;0.03;0.01 [1352];0.01 [1348];0.01;
GOMP_cancel;libgomp.so.1.0.0;;0.03;0.01 [1352];0.02 [1348];0.01;
baseline;binary;kernel.c:138;0.02;0.03 [1348];0.03 [1348];0.01;
drop_futex_key_refs.isra.16;SYSTEM CALL;;0.02;0.00 [1351];0.03 [1348];0.01;
unknown kernel region;SYSTEM CALL;;0.01;0.01 [1351];0.01 [1351];0.00;
__libc_malloc;libc-2.28.so;;0.01;0.01 [1348];0.01 [1348];0.00;
__libc_free;libc-2.28.so;;0.01;0.02 [1348];0.02 [1348];0.01;
apic_timer_interrupt;SYSTEM CALL;;0.00;0.00 [1352];0.00 [1348];0.00;
random;libc-2.28.so;;0.00;0.00 [1348];0.00 [1348];0.00;
read_tsc;SYSTEM CALL;;0.00;0.00 [1352];0.00 [1348];0.00;
perf_event_task_tick;SYSTEM CALL;;0.00;0.00 [1348];0.00 [1348];0.00;
swapgs_restore_regs_and_return_to_usermode;SYSTEM CALL;;0.00;0.00 [1351];0.00 [1348];0.00;
read_hpet;SYSTEM CALL;;0.00;0.00 [1352];0.00 [1352];0.00;
ktime_get;SYSTEM CALL;;0.00;0.00 [1351];0.00 [1348];0.00;
__softirqentry_text_start;SYSTEM CALL;;0.00;0.00 [1350];0.00 [1350];0.00;
account_system_index_time;SYSTEM CALL;;0.00;0.00 [1348];0.00 [1348];0.00;
timekeeping_advance;SYSTEM CALL;;0.00;0.00 [1348];0.00 [1348];0.00;
cpuacct_account_field;SYSTEM CALL;;0.00;0.00 [1351];0.00 [1348];0.00;
main;binary;driver.c:23;0.00;0.00 [1348];0.00 [1348];0.00;
tick_sched_timer;SYSTEM CALL;;0.00;0.00 [1348];0.00 [1348];0.00;
cgroup_rstat_updated;SYSTEM CALL;;0.00;0.00 [1348];0.00 [1348];0.00;
run_timer_softirq;SYSTEM CALL;;0.00;0.00 [1348];0.00 [1348];0.00;
__schedule;SYSTEM CALL;;0.00;0.00 [1348];0.00 [1348];0.00;
rcu_all_qs;SYSTEM CALL;;0.00;0.00 [1348];0.00 [1348];0.00;
interrupt_entry;SYSTEM CALL;;0.00;0.00 [1352];0.00 [1350];0.00;
scheduler_tick;SYSTEM CALL;;0.00;0.00 [1350];0.00 [1350];0.00;
irq_work_run_list;SYSTEM CALL;;0.00;0.00 [1351];0.00 [1351];0.00;
irq_enter;SYSTEM CALL;;0.00;0.00 [1352];0.00 [1350];0.00;
smp_apic_timer_interrupt;SYSTEM CALL;;0.00;0.00 [1350];0.00 [1350];0.00;
rcu_check_callbacks;SYSTEM CALL;;0.00;0.00 [1352];0.00 [1350];0.00;
task_tick_fair;SYSTEM CALL;;0.00;0.00 [1350];0.00 [1350];0.00;
run_posix_cpu_timers;SYSTEM CALL;;0.00;0.00 [1350];0.00 [1350];0.00;
account_process_tick;SYSTEM CALL;;0.00;0.00 [1348];0.00 [1348];0.00;
__hrtimer_run_queues;SYSTEM CALL;;0.00;0.00 [1352];0.00 [1350];0.00;
_raw_spin_lock_irq;SYSTEM CALL;;0.00;0.00 [1350];0.00 [1350];0.00;
ahci_handle_port_intr;SYSTEM CALL;;0.00;0.00 [1351];0.00 [1351];0.00;
_raw_spin_lock_irqsave;SYSTEM CALL;;0.00;0.00 [1351];0.00 [1351];0.00;
rb_next;SYSTEM CALL;;0.00;0.00 [1351];0.00 [1351];0.00;
__hrtimer_next_event_base;SYSTEM CALL;;0.00;0.00 [1351];0.00 [1351];0.00;
sched_clock_tick;SYSTEM CALL;;0.00;0.00 [1351];0.00 [1351];0.00;
native_apic_mem_write;SYSTEM CALL;;0.00;0.00 [1352];0.00 [1352];0.00;
enqueue_task_fair;SYSTEM CALL;;0.00;0.00 [1352];0.00 [1352];0.00;
__hrtimer_get_next_event;SYSTEM CALL;;0.00;0.00 [1350];0.00 [1350];0.00;
__update_load_avg_cfs_rq;SYSTEM CALL;;0.00;0.00 [1352];0.00 [1352];0.00;
update_process_times;SYSTEM CALL;;0.00;0.00 [1352];0.00 [1352];0.00;
